Jos? de Jes?s Corona,1,PORTERO,0,Corona
Yosgart Ernesto Guti?rrez,25,PORTERO,0,Yosgart
Guillermo Allison,12,PORTERO,0,Allison
N?stor Araujo,3,DEFENSA,0,Araujo
Javier  Aquino,7,DEFENSA,0,Aquino
Luis Amaranto Per?a,14,DEFENSA,1,Perea
Jair Pereira,16,DEFENSA,0,Pereira
Adri?n Cort?s,22,DEFENSA,0,Cortes
Gerardo Flores,15,DEFENSA,0,Gerry
Rogelio Ch?vez,28,DEFENSA,0,Chavez
Fausto P?nto,2,DEFENSA,0,Pinto
Alejandro Castro,5,DEFENSA,0,A. Castro 
Julio C?sar Dom?nguez,4,DEFENSA,0,Cata
Christian Gim?nez,10,MEDIO,1,Chaco
Gerardo Torrado,6,MEDIO,0,Torrado
H?ctor Guti?rrez,21,MEDIO,0,H. Gutierrez
Israel Castro,8,MEDIO,0,I. Castro
?Omar Bravo,9,DELANTERO,0,Bravo
Pablo Barrera,17,DELANTERO,0,Barrera
Alejandro Vela,11,DELANTERO,0,Vela
Javier Orozco,27,DELANTERO,0,Chuleta
Hugo Mariano Pavone,20,DELANTERO,1,Pavone
"?Francinilson Santos ""Maranhao""",18,DELANTERO,1,Maranhao
Marco Antonio Ang?lo,19,DELANTERO,0,Angulo 
