Luis Ernesto Michel Vergara,1,Portero,0,Michel
Mario Humberto De Luna Saucedo,2,Defensa,0,De Luna
Kristian Omar Álvarez Nuño,3,Defensa,0,Alvarez
Héctor Reynoso López,4,Defensa,0,Reynoso
Patricio Gabriel Araujo Vázquez,5,Mediocampista,0,Pato
Adrián Cortés Valdovino,6,Defensa,0,Cortes
Rafael Márquez Lugo,7,Delantero,0,Marquez
Miguel Sabah Rodríguez,9,Delantero,0,Sabah
Marco Jhonfai Fabián De la Mora,10,Mediocampista,0,Fabian
Abraham Coronado Tafoya,13,Mediocampista,0,Coronado
Jorge Enríquez García,14,Defensa,0,Chaton
Miguel Ángel Ponce Briseño,16,Defensa,0,Ponce
Jesús Enrique Sánchez García,17,Delantero,0,Chapo
Erick Estefano Torres Padilla,19,Delantero,0,Cubo
Giovani Daniel Casillas Chávez,20,Mediocampista,0,Giovani
Carlos Eduardo Fierro Guerrero,21,Delantero,0,Fierro
Luis Ernesto Pérez Gómez,23,Mediocampista,0,Lucho
Sergio Pérez Moya,24,Defensa,0,Cherokee
Emmanuel Giovani Hernández Neri,28,Mediocampista,0,G.Hernandez
Carlos Octavio Villanueva López,36,Delantero,0,Villanueva
Víctor Raúl Perales Aguilar,143,Defensa,0,Perales
Juan Miguel Basulto Medina,144,Defensa,0,Basulto
Michael Pérez Ortiz,145,Mediocampista,0,Perez
Irving Rolando Ávalos González,148,Mediocampista,0,Avalos
Miguel Jiménez Ponce,151,Portero,0,Jimenez
Juan Pablo Orozco Lozano,154,Delantero,0,Orozco
Luis Ángel Morales Rojas,163,Mediocampista,0,Morales
