 Juan de Dios Ibarra,23,PORTERO,0,Ibarra
Jonathan Orozco,1,PORTERO,0,Jona 
Jesús Alejandro Dautt,32,PORTERO,0,Dautt
 Darvin Chávez,5,DEFENSA,0,Chavez
Hiram Mier,21,DEFENSA,0,Mier
José María Basanta,15,DEFENSA,1,Basanta
Sergio Pérez,24,DEFENSA,0,Cheeroke
Héctor Miguel Morales,6,DEFENSA,0,Morales
Ricardo Osorio,4,DEFENSA,0,Osorio
Edgar Iván Solís,7,DEFENSA,0,Tepa
Severo Meza,2,DEFENSA,0,Meza
Alejandro Molina,3,DEFENSA,0,Molina 
Angel Reyna ,10,MEDIO,0,Reyna
Walter Ayoví,11,MEDIO,1,Ayovi
Cesar de la Peña Canterano,16,MEDIO,0,Peña
Jesus Zavala ,17,MEDIO,0,Zavala
Neri Cardozo,18,MEDIO,1,Cardozo
Jesus Corona Ruíz,25,MEDIO,0,Ruiz
Aldo de Nigris,9,DELANTERO,0,De Nigris
Abraham Carreño,13,DELANTERO,0,Carreño
 Cesar Delgado,19,DELANTERO,1,Chelito
Humberto Suazo,26,DELANTERO,1,Suazo
