Néstor Vicente Vidrio Serrano,3,Defensa,0,Vidrio
Paulo César Da Silva Barrios,4,Defensa,1,Da Silva
Daniel Arreola Arguello,5,Defensa,0,Arreola
Héctor Miguel Herrera López,6,Mediocampista,0,H.Herrera
Christian Andrés Suárez Valencia,7,Mediocampista,1,Suarez
Enrique Alejandro Esqueda Tirado,9,Delantero,0,Esqueda
Daniel Emanuel Ludueña,10,Mediocampista,0,Ludueña
Ángel Eduardo Reyna Martínez,11,Mediocampista,0,Reyna
Óscar Adrián Rojas Castillón,12,Defensa,0,Rojas
Alfonso Blanco Antúnez,13,Portero,0,Blanco
Fernando Navarro Morán,14,Mediocampista,0,Navarro
Arturo Javier Ledesma Pérez,15,Defensa,0,Ledesma
Jorge Daniel Hernández Govea,16,Mediocampista,0,Hernandez
Avilés Hurtado Herrera,18,Mediocampista,1,Hurtado
Abraham Darío Carreño Rohan,19,Delantero,0,Carreño
Raul Meraz Torres,21,Delantero,0,Meraz
Carlos Fernando Velázquez Castillo,22,Portero,0,Velazquez
Rodolfo Pizarro Thomas,23,Delantero,0,Pizarro
Miguel Ángel Herrera Equihua,24,Defensa,0,M.Herrera
Víctor Omar Mañón Barrón,27,Delantero,0,Mañon
Julio Enrique Gómez González,28,Delantero,0,Gomez
Marco Antonio Bueno Ontiveros,29,Delantero,0,Bueno
Rodolfo Cota Robles,30,Portero,0,Cota
Efrén Mendoza Cuahutle,32,Mediocampista,0,Mendoza
Jaime Correa Córdova,33,Mediocampista,0,Correa
David Alejandro Carmona Velasco,34,Mediocampista,0,Carmona
Christian Marrugo,35,Mediocampista,1,Marrugo
Emilio García Montoya,66,Delantero,0,Garcia
Simón Steven Almeida Trinidad,69,Mediocampista,0,Almeida
