Jonathan Leonardo Lacerda Araujo,2,Defensa,1,Lacerda
Jaime Durán Gómez,3,Defensa,0,Duran
Jesús Roberto Chávez Guzmán,4,Defensa,0,Chavez
Diego Armando Vera Gasca,5,Delantero,0,Vera
Diego Eduardo De Buen Juárez,6,Mediocampista,0,De Buen
Luis Miguel Noriega Orozco,7,Mediocampista,0,Noriega
Emmanuel Cerda Martínez,8,Delantero,0,Cerda
Félix Alexander Borja Valencia,9,Delantero,1,Borja
Alberto Medina Briseño,10,Delantero,0,Venado
DaMarcus Lamont Beasley,11,Mediocampista,1,Beasley
William Alberto Paredes Barbudo,13,Defensa,0,Paredes
Segundo Alejandro Castillo Nazareno,14,Mediocampista,1,Castillo
Michael Orozco Fiscal,16,Mediocampista,0,Orozco
Brayan Adán Martínez Arizpe,18,Delantero,0,Martinez
Isaac Romo González,19,Delantero,0,Romo
Fernando Leonel Cortés Monroy,20,Delantero,0,Cortes
Efraín Dimayuga Lorenzo,21,Defensa,0,Dimayuga
Gustavo Matías Alustiza,22,Delantero,1,Alustiza
Víctor Hugo Hernández Oropeza,23,Portero,0,H.Hernandez
Roberto Carlos Juárez Gutiérrez,26,Defensa,0,Juarez
José Hiber Ruiz Nataren,29,Mediocampista,0,Ruiz
Eduardo Morodo Orvañanos,30,Defensa,0,Morodo
Paris Fernando Pérez Hernández,31,Defensa,0,Perez
Alexandro Álvarez Olivares,33,Portero,0,Alvarez
Rafael Ivan Ortiz Mello,36,Delantero,0,Ortiz
Pablo Gonzalez Diaz,45,Mediocampista,0,Gonzalez
Jesus Ivan Rodriguez Trujillo,46,Portero,0,Rodriguez
Aldair Santana Aguilar,48,Mediocampista,0,Santana
