Alejandro Palacios,1,PORTERO,0,A.Palacios
V?ctor Od?n Pati?o,13,PORTERO,0,Pati?o
Marco Antonio Palacios,3,DEFENSA,0,M.Palacios
Fernando Espinosa,16,DEFENSA,0,Espinosa
Efra?n Velarde,2,DEFENSA,0,Chispa
Luis Fernando Fuentes,5,DEFENSA,0,Fuentes
?Dar?o  Ver?n,4,DEFENSA,1,Veron 
Neftal? Teja,27,DEFENSA,0,Teja
David Cabrera,8,DEFENSA,0,Cabrera
Jos? Antonio Garc?a,12,DEFENSA,0,Garcia
Aar?n Alexis Sandoval,22,DEFENSA,0,Sandoval
Jaime Arturo Lozano,21,MEDIO,0,Jimmy
Erik Vera,20,MEDIO,0,Vera
Carlos Orrant?a,18,MEDIO,0,Orrantia
Mart?n  Romagnoli,6,MEDIO,1,Romagnoli
Fernando Massiel Santana,23,MEDIO,0,Santana
Fernando Morales,19,MEDIO,0,Morales
Jehu Chiapas,11,MEDIO,0,Chiapas
Pablo Bonells,17,DELANTERO,0,Bonells
Mart?n  Bravo,10,DELANTERO,1,Bravo
Jos? Alfonso Nieto,26,DELANTERO,0,Nieto
Javier Cort?s,7,DELANTERO,0,Cortes
Emanuel Villa,9,DELANTERO,1,Tito
Eduardo Herrera,15,DELANTERO,0,Herrera
Luis  Garc?a,14,DELANTERO,1,L.Garcia
