Sergio Alejandro Garc?a,18,P?RTERO,0,S.Garcia
?Javier Dar?o Romo,34,P?RTERO,0,Romo
 Jorge Luis Valencia,16,DEFENSA,0,Valencia
Onay Pineda,32,DEFENSA,0,Pineda
?Efra?n Cort?s,2,DEFENSA,1,Cortes
Francisco Vidal Franco,29,DEFENSA,0,Franco
Dionicio Escalante,4,DEFENSA,0,Escalente
Manuel Ernesto L?pez,5,DEFENSA,0,M.Lopez
Leonel Olmedo,26,DEFENSA,0,Olmedo
Daniel Alc?ntar,17,DEFENSA,0,Alcantar
Adri?n Garc?a Arias,19,DEFENSA,0,Arias
Alfonso Jos? Rippa,22,DEFENSA,1,Rippa
Mitchel Oviedo,6,MEDIO,0,Oviedo
Jorge Arturo Echavarr?a,11,MEDIO,0,Echavarria
?Marco Antonio Jim?nez,21,MEDIO,0,M.Jimenez
Gonzalo Pineda,7,MEDIO,0,Gonzo
Diego de la Torre,8,MEDIO,0,de la Torre
David Stringel,12,MEDIO,0,Stringel
Marvin Pi??n,33,MEDIO,0,Pi?on
Armando Pulido,13,MEDIO,0,Pulido
Carlos Eduardo Zamarripa,35,MEDIO,0,Zamarripa
Diego Nicol?s Guastavino,15,MEDIO,1,D.Gustanvino
Diego Alonso Andrade,28,MEDIO,0,D.Andrade
?Alberto Jorge Garc?a,23,DELANTERO,0,Alberto Jorge
Diego Vera,10,DELANTERO,0,Vera
Carlos Bueno,20,DELANTERO,1,Bueno
Emmanuel Alejandro Tapia,24,DELANTERO,0,Tapia
Jonatan Horacio de Le?n,30,DELANTERO,0,de Leon 
Juan Carlos Enr?quez,27,DELANTERO,0,J.Enriquez
Luis ?ngel Land?n,9,DELANTERO,0,Landin
