Liborio Vicente Sánchez Ledezma,1,Portero,0,Liborio
Diego Alfonso Martínez Balderas,2,Defensa,0,Martinez
Diego Alberto Cervantes Chávez,3,Defensa,0,Cervantes
Dionicio Manuel Escalante Moreno,4,Defensa,0,Escalante
Manuel Ernesto López Mondragón,5,Defensa,0,Lopez Mondragon
Mitchel Oviedo Hernández,6,Mediocampista,0,Oviedo
Gonzalo Pineda Reyes,7,Mediocampista,0,Pineda
Diego Javier De La Torre Muciño,8,Mediocampista,0,De la Torre
Luis Ángel Landín Cortés,9,Delantero,0,Landin
Edson Omar Vásquez Ortega,10,Mediocampista,1,Vasquez
Jorge Arturo Echavarría Alemán,11,Mediocampista,0,Echavarria
Pablo Daniel Antonio Gabas,12,Mediocampista,0,Gabas
Luis Dialisson de Souza Alves,13,Defensa,1,Apodi
David Izazola Ramírez,14,Delantero,0,Izazola
José Daniel Amador Reynoso,15,Defensa,0,Amador
Juan Carlos Mariño Márquez,16,Mediocampista,1,Mariño
Mario Humberto Osuna Pereznuñez,17,Mediocampista,0,Osuna
Sergio Alejandro García Nario,18,Portero,0,S.Garcia
Adrián Israel García Arias,19,Defensa,0,Garcia Arias
Antonio Pérez Delgadillo,20,Portero,0,T.Perez
Marco Antonio Jiménez González,21,Mediocampista,0,Jimenez
Alfonso José Rippa Castro,22,Defensa,1,Rippa
Manuel Pérez Flores,23,Mediocampista,0,Tripa
Wilberto Cosme Mosquera,24,Delantero,1,Cosme
Antonio Gallardo,25,Mediocampista,0,Gallardo
Christian Alejandro Pérez Vázquez,27,Defensa,0,Perez
Diego Alonso Andrade Torres,28,Mediocampista,0,Andrade
Julio César Nava García,29,Mediocampista,0,Nava
Jonatan Horacio De León Ochoa,30,Mediocampista,0,De Leon
Héctor Miguel Gómez Huazo,31,Mediocampista,0,H. Gomez
Onay Pineda Alvarado,32,Mediocampista,0,Onay P.
Patricio Enrique Treviño,33,Defensa,0,Treviño
Javier Darío Romo Barrón,34,Portero,0,J.Romo
Osvaldo Henriquez,35,Defensa,1,Henriquez
Jaime Gómez Valencia,56,Mediocampista,0,Gomez
Eduardo Javier Sayún Pallares,59,Mediocampista,0,Sayun
Amaury Gabriel Escoto,62,Delantero,0,Escoto
Arelibetsiel Hernández Huerta,68,Defensa,0,Hernandez
Victor Manuel Milke Almagro,93,Mediocampista,0,Milke
