Oscar P?rez,1,PORTERO,0,Conejo
C?sar Lozano,12,PORTERO,0,Lozano
Carlos Alberto Trejo,25,PORTERO,0,Trejo
C?sar Armando Saldivar,3,DEFENSA,0,Salvidar
Jos? Antonio Castro,33,DEFENSA,0,Gringo
F?lix de Jes?s Araujo,20,DEFENSA,0,Araujo
William Paredes,13,DEFENSA,0,Paredes
Marco Iv?n P?rez,4,DEFENSA,0,M.Perez
Michael Orozco,16,DEFENSA,0,Michel O
Diego Ord?z,27,DEFENSA,0,Ordaz
Andr?s Cadavid,2,DEFENSA,1,Cadavid
Isa? Arredondo,18,MEDIO,0,Arredondo
Juan Carlos Silva,23,MEDIO,0,Silva
Everton Luiz Guimaraes,5,MEDIO,1,Guimaraes
Luis Alfonso Rodr?guez,24,MEDIO,0,Rodriguez
Mois?s Adri?n Velasco,7,MEDIO,0,Velasco
C?sar Villaluz,14,MEDIO,0,Villaluz
Jos? Pablo D?az,31,MEDIO,0,Jose Pablo
Noe Maya,21,MEDIO,0,Maya
Emilio L?pez,19,MEDIO,0,E. Lopez
Jaime Correa,6,MEDIO,0,Correa
Guillermo Rojas,17,MEDIO,0,Rojas
?Wilmer Aguirre,10,DELANTERO,1,Aguirre
Emmanuel Cerda,22,DELANTERO,0,Cerda
Luis ?ngel Mendoza,26,DELANTERO,0,Mendoza
Erick Esparza,28,DELANTERO,0,Esparza
David Alejandro Salazar,29,DELANTERO,0,Salazar
Juan Jonathan Garc?a,30,DELANTERO,0,Garcia 
Sebasti?n Fern?ndez,8,DELANTERO,1,Fernandez
Santiago Trellez,9,DELANTERO,1,Trellez
