Oswaldo S?nchez,1,PORTERO,0,O.Sanchez
Miguel Gonz?lez,25,PORTERO,0,M.Glez
 Iv?n Estrada,4,DEFENSA,0,Guti
Rafael Figueroa,19,DEFENSA,0,Figueroa
Felipe Baloy,23,DEFENSA,1,Baloy
Aar?n Galindo,5,DEFENSA,0,Galindo
Osmar Mares,20,DEFENSA,0,Mares
Oswaldo Alan?s,2,DEFENSA,0,Alanis
C?sar Ib??ez,38,DEFENSA,0,Iba?ez
Kenyi Fernando Adachi ,57,DEFENSA,0,Adachi
Rodolfo Salinas,17,MEDIO,0,Salinas
Juan Pablo Rodr?guez,8,MEDIO,0,Chato
 Gerardo Lugo,7,MEDIO,0,Lugo
Marc Crosas ,6,MEDIO,1,Crosas
Daniel Ludue?a,10,MEDIO,1,Hachita
C?ndido Ram?rez,37,MEDIO,1,Candido
Alejandro Mart?nez Rodr?guez,15,MEDIO,0,A. Rdez
Darwin Quintero ,3,DELANTERO,1,Darwin
Christian Su?rez,13,DELANTERO,1,C.Suarez
Oribe Peralta,24,DELANTERO,0,Peralta
Jes?s Alonzo Escoboza ,65,DELANTERO,1,Escoboza
H?rcules G?mez,16,DELANTERO,1,H.Gomez
Carlos Andrei Parra Miranda,49,DELANTERO,0,Miranda
Mario Alberto C?rdenaz Virrey,64,DELANTERO,0,Virrey
