Antonio Pérez,1,PORTERO,0,A. Perez
Jorge Villalpando,23,PORTERO,0,Villalpando
Alejandro Arredondo,24,PORTERO,0,Arredondo
Gerardo Daniel Ruíz,21,PORTERO,0,Ruiz
Luis Gerardo Venegas,4,DEFENSA,0,Venegas
Ricardo Jiménez,19,DEFENSA,0,R. Jimenez
Alfonso Luna,6,DEFENSA,0,Luna
Ernesto Alejandro Reyes,26,DEFENSA,0,E. Reyes
Carlos Andrés Calvo,22,DEFENSA,0,Calvo
Jorge Guagua,2,DEFENSA,1,Guagua
 Eugenio Arochi,32,DEFENSA,0,Arochi
 Osvaldo Martínez,8,MEDIO,1,Osvaldito
Ignacio Torres,17,MEDIO,0,Torres
Cristian Maidana,10,MEDIO,1,Maidana
Oscar Vieyra,34,MEDIO,0,Vierya
Irving Mauro Zurita,16,MEDIO,0,Zurita
Oscar Vera,25,MEDIO,0,Vera
José Daniel  Guerrero,5,MEDIO,0,Chepe
" Israel ""Jagger"" Martínez",18,MEDIO,0,Jagger
Arturo Muñóz,15,MEDIO,0,A. Muñoz
Oscar Ricardo Rojas,3,MEDIO,0,O.Rojas
Esteban Paredes,7,MEDIO,1,Paredes
Sergio Nápoles,20,DELANTERO,0,Napoles 
Jerónimo Amione,11,DELANTERO,0,Amione 
Raymundo Torres,27,DELANTERO,0,Torres
José   Fonseca,14,DELANTERO,0,Kikin
Luis Eduardo Rodríguez,33,DELANTERO,0,L. Rodriguez
Valmiro Lópes ,9,DELANTERO,1,Valmiro
