José de Jesús Corona Rodríguez,1,Portero,0,Corona
Guillermo Allison Revuelta,12,Portero,0,Revuelta
Yosgart Ernesto Gutiérrez Serna,25,Portero,0,Yosgart
Néstor Alejandro Araujo Razo,3,Defensa,0,Araujo
Julio César Domínguez Juárez,4,Defensa,0,Cata
Alejandro Castro Flores,5,Defensa,0,A.Castro
Luis Amaranto Perea Mosquera,14,Defensa,1,Perea
Gerardo Flores Zúñiga,15,Defensa,0,G.Flores
Jair Pereira Rodríguez,16,Defensa,0,Pereira
Rogelio Alfredo Chávez Martínez,28,Defensa,0,Chavez
Alan Emmanuel Vidal Solís,31,Defensa,0,A.Vidal
Francisco Javier Flores Ibarra,77,Defensa,0,F.Flores
Gerardo Torrado Díez de Bonilla,6,Medio,0,Torrado
Javier Ignacio Aquino Carmona,7,Medio,0,Aquino
Israel Castro Macías,8,Medio,0,I.Castro
Christian Eduardo Giménez,10,Medio,1,Chaco
Allam Bello Huerta,18,Medio,0,Bello
Héctor Enrique Gutiérrez Ramírez,21,Medio,0,Gutierrez
Nicolás Santiago Bertolo,23,Medio,1,Bertolo
Diego Alejandro Franco Mares,93,Medio,0,Franco
Carlos Daniel Naranjos Cárdenas,122,Medio,0,Naranjos
Manuel Alejandro Vela Garrido,11,Delantero,0,Vela
Pablo Edson Barrera Acosta,17,Delantero,0,Barrera
Hugo Mariano Pavone,20,Delantero,1,Pavone
Javier Antonio Orozco Pañuelas,27,Delantero,0,Chuletita
Teófilo Antonio Gutiérrez Rocancio,29,Delantero,1,Teofilo
Jesús Alberto Lara García,32,Delantero,0,Lara
Diego Israel Martínez Monroy,91,Delantero,0,Martinez
