José de Jesús Corona,1,PORTERO,0,Corona
Yosgart Ernesto Gutiérrez,25,PORTERO,0,Yosgart
Guillermo Allison,12,PORTERO,0,Allison
Néstor Araujo,3,DEFENSA,0,Araujo
Javier  Aquino,7,DEFENSA,0,Aquino
Luis Amaranto Peréa,14,DEFENSA,1,Perea
Jair Pereira,16,DEFENSA,0,Pereira
Adrián Cortés,22,DEFENSA,0,Cortes
Gerardo Flores,15,DEFENSA,0,Gerry
Rogelio Chávez,28,DEFENSA,0,Chavez
Fausto Pínto,2,DEFENSA,0,Pinto
Alejandro Castro,5,DEFENSA,0,A. Castro 
Julio César Domínguez,4,DEFENSA,0,Cata
Christian Giménez,10,MEDIO,1,Chaco
Gerardo Torrado,6,MEDIO,0,Torrado
Héctor Gutiérrez,21,MEDIO,0,H. Gutierrez
Israel Castro,8,MEDIO,0,I. Castro
 Omar Bravo,9,DELANTERO,0,Bravo
Pablo Barrera,17,DELANTERO,0,Barrera
Alejandro Vela,11,DELANTERO,0,Vela
Javier Orozco,27,DELANTERO,0,Chuleta
Hugo Mariano Pavone,20,DELANTERO,1,Pavone
" Francinilson Santos ""Maranhao""",18,DELANTERO,1,Maranhao
Marco Antonio Angúlo,19,DELANTERO,0,Angulo 
