Christian Martínez Cedillo,16,Portero,0,Martinez
William Paul Yarbrough Story,25,Portero,0,Yarbrough
Édgar Melitón Hernández Cabrera,31,Portero,0,Meliton
Rafael Márquez Álvarez,3,Defensa,0,Marquez
Óscar Yaroslav Mascorro Ábrego,4,Defensa,0,Mascorro
Edwin William Hernández Herrera,7,Defensa,0,Hernandez
José Jonny Magallón Oliva,19,Defensa,0,Magallon
Arturo Ortiz Martínez,34,Defensa,0,Ortiz
Juan Ignacio González Ibarra,35,Defensa,0,Gonzalez
Hernán Darío Burbano,1,Medio,1,Burbano
Juan Carlos Iván Pineda Vázquez,5,Medio,0,Pineda
Jorge Zataraín Pineda,11,Medio,0,Zatarain
Juan Carlos Rojas Guerra,12,Medio,0,Romita
Edwin Santibáñez Noé,15,Medio,0,Santibañez
Eisner Iván Loboa Balanta,20,Medio,1,Loboa
José Juan Vázquez Gómez,23,Medio,0,Vazquez
José de Jesús Pozos Melano,24,Medio,0,Pozos
Juan José Calderón Enríquez,28,Medio,0,Calderon
Aldo Paúl Rocha González,29,Medio,0,Rocha
Édgar Iván Pacheco Rodríguez,30,Medio,0,Pacheco
Raúl Omar Maldonado Aguilera,32,Medio,0,Maldonado
Nery Alberto Castillo Confalioneri,8,Delantero,0,Nery
Matías Britos Cardoso,9,Delantero,1,Britos
Luis Arturo Montes Jiménez,10,Delantero,0,Montes
Yovanny Arrechea Amú,14,Delantero,1,Arrechea
José Fernando Torres Mora,18,Delantero,0,Torres
Luis Antonio Delgado Tapia,21,Delantero,0,Delgado
Nelson Sebastián Maz Rosano,22,Delantero,1,Maz
Carlos Alberto Peña Rodríguez,27,Delantero,0,Gullit
Othoniel Arce Jaramillo,33,Delantero,0,Arce
Mauricio Castañeda Mendoza,45,Delantero,0,Castañeda
