Jonathan Emmanuel Orozco Martínez,1,Portero,0,Orozco
Juan de Dios Ibarra Corral,23,Portero,0,Ibarra
Jesús Alejandro Dautt Ramírez,32,Portero,0,Dautt
Severo Efraín Meza Mayorga,2,Defensa,0,Meza
Leobardo López García,3,Defensa,0,Leobardo
Ricardo Osorio Mendoza,4,Defensa,0,Osorio
Darvin Francisco Chávez Ramírez,5,Defensa,0,Chavez
Héctor Miguel Morales Llanas,6,Defensa,0,Morales
Édgar Iván Solís Castillón,7,Defensa,0,Tepa Solis
José María Basanta,15,Defensa,1,Basanta
Hiram Ricardo Mier Alanís,21,Defensa,0,Mier
Óscar Sebastián García Carmona,39,Defensa,0,Garcia
Luis Alberto López López,41,Defensa,0,Lopez
Walter Orlando Ayoví Corozo,11,Medio,1,Ayovi
Jesús Manuel Corona Ruiz,14,Medio,0,Corona
César Francisco De la Peña Rentería,16,Medio,0,De la Peña
Jesús Eduardo Zavala Castañeda,17,Medio,0,Zavala
Neri Raúl Cardozo,18,Medio,1,Cardozo
Jesús Aldo De Nigris Guajardo,9,Delantero,0,De Nigris
César Fabián Delgado Godoy,19,Delantero,1,Chelito
Humberto Andrés Suazo Pontivo,26,Delantero,1,Chupete
Omar Arellano Riverón,27,Delantero,0,Arellano
Gerardo Moreno Cruz,45,Delantero,0,Moreno
Luis Guillermo Madrigal Gutiérrez,56,Delantero,0,Madrigal
Santiago Rivera Molina,58,Delantero,0,Rivera
