Alfonso Blanco Antúnez,13,Portero,0,Blanco
Carlos Fernando Velázquez Castillo,22,Portero,0,Velazquez
Rodolfo Cota Robles,30,Portero,0,Cota
Néstor Vicente Vidrio Serrano,3,Defensa,0,Vidrio
Paulo César Da Silva Barrios,4,Defensa,1,Da Silva
Daniel Arreola Arguello,5,Defensa,0,Arreola
Óscar Adrián Rojas Castillón,12,Defensa,0,Rojas
Arturo Javier Ledesma Pérez,15,Defensa,0,Ledesma
Miguel Ángel Herrera Equihua,24,Defensa,0,M.Herrera
Héctor Miguel Herrera López,6,Medio,0,H.Herrera
Christian Andrés Suárez Valencia,7,Medio,1,Suarez
Daniel Emanuel Ludueña,10,Medio,0,Ludueña
Ángel Eduardo Reyna Martínez,11,Medio,0,Reyna
Fernando Navarro Morán,14,Medio,0,Navarro
Jorge Daniel Hernández Govea,16,Medio,0,Hernandez
Avilés Hurtado Herrera,18,Medio,1,Hurtado
Efrén Mendoza Cuahutle,32,Medio,0,Mendoza
Jaime Correa Córdova,33,Medio,0,Correa
David Alejandro Carmona Velasco,34,Medio,0,Carmona
Christian Marrugo,35,Medio,1,Marrugo
Simón Steven Almeida Trinidad,69,Medio,0,Almeida
Enrique Alejandro Esqueda Tirado,9,Delantero,0,Esqueda
Abraham Darío Carreño Rohan,19,Delantero,0,Carreño
Raul Meraz Torres,21,Delantero,0,Meraz
Rodolfo Pizarro Thomas,23,Delantero,0,Pizarro
Víctor Omar Mañón Barrón,27,Delantero,0,Mañon
Julio Enrique Gómez González,28,Delantero,0,Gomez
Marco Antonio Bueno Ontiveros,29,Delantero,0,Bueno
Emilio García Montoya,66,Delantero,0,Garcia
