Miguel Alejandro Palacios Redorta,1,Portero,0,A.Palacios
Alfredo Saldívar Medina,13,Portero,0,Saldivar
Efraín Velarde Calvillo,2,Defensa,0,Velarde
Marco Antonio Palacios Redorta,3,Defensa,0,M.Palacios
Darío Anastacio Verón Maldonado,4,Defensa,1,Veron
Luis Fernando Fuentes Vargas,5,Defensa,0,Fuentes
José Antonio García Fernández,12,Defensa,0,J.A.Garcia
Ignacio González Espinoza,20,Defensa,0,Gonzalez
Aarón Alexis Sandoval Ulibarri,22,Defensa,0,Sandoval
José Alfonso Nieto Martínez,26,Defensa,0,Teja
Alan Rodrigo Sánchez Gutiérrez,86,Defensa,0,Van Rankin
Martín Andrés Romagnoli,6,Medio,1,Romagnoli
David Cabrera Pujol,8,Medio,0,Cabrera
Carlos Emilio Orrantia Treviño,18,Medio,0,Orrantia
Jaime Arturo Lozano Espín,21,Medio,0,Lozano
Jehu Beezye Chiapas Pérez,11,Medio,0,Chiapas
Fernando Espinosa Barrera,16,Medio,0,Espinosa
Javier Cortés Granados,7,Delantero,0,Cortes
Robin Ariel Ramírez González,9,Delantero,1,Robin R.
Martín Iván Bravo,10,Delantero,1,Bravo
Luis Javier García Sanz,14,Delantero,1,Garcia
Eduardo Herrera Aguirre,15,Delantero,0,Herrera
Pablo Bonells Mendoza,17,Delantero,0,Bonells
José Carlos Van Rankin Galland,23,Delantero,0,Nieto
Neftalí Teja Cisneros,27,Delantero,0,Sanchez
